iter	Passed	Remaining
0	128	128155
1	128	64298
2	129	43002
3	129	32353
4	130	25962
5	130	21697
6	131	18650
7	132	16369
8	132	14599
9	133	13178
10	133	12010
11	134	11042
12	134	10216
13	135	9509
14	135	8897
15	135	8362
16	136	7890
17	136	7469
18	137	7096
19	137	6759
20	138	6456
21	139	6181
22	139	5926
23	139	5692
24	140	5479
25	141	5282
26	141	5099
27	142	4930
28	142	4770
29	142	4621
30	143	4484
31	143	4354
32	144	4233
33	144	4118
34	145	4008
35	145	3905
36	146	3808
37	146	3716
38	147	3630
39	147	3547
40	148	3469
41	148	3395
42	149	3323
43	149	3255
44	150	3189
45	150	3127
46	151	3067
47	151	3009
48	152	2954
49	152	2901
50	153	2850
51	153	2801
52	154	2754
53	154	2709
54	155	2666
55	155	2623
56	156	2583
57	156	2545
58	157	2508
59	157	2471
60	158	2435
61	158	2402
62	159	2369
63	159	2337
64	160	2306
65	160	2277
66	161	2248
67	161	2216
68	162	2189
69	162	2162
70	163	2136
71	163	2111
72	164	2085
73	164	2061
74	165	2039
75	165	2017
76	166	1995
77	166	1973
78	167	1952
79	167	1931
80	168	1911
81	169	1893
82	169	1874
83	170	1855
84	170	1835
85	171	1817
86	171	1800
87	172	1783
88	172	1768
89	173	1752
90	173	1736
91	174	1721
92	174	1706
93	175	1692
94	176	1678
95	176	1664
96	177	1652
97	178	1639
98	178	1626
99	179	1613
100	179	1600
101	180	1585
102	180	1572
103	181	1560
104	181	1548
105	182	1535
106	182	1524
107	183	1512
108	183	1501
109	184	1490
110	184	1479
111	185	1468
112	185	1457
113	186	1447
114	186	1436
115	187	1425
116	187	1415
117	188	1405
118	188	1395
119	188	1385
120	189	1376
121	189	1367
122	190	1356
123	190	1347
124	191	1338
125	191	1330
126	192	1322
127	192	1312
128	193	1304
129	193	1297
130	194	1289
131	194	1281
132	195	1273
133	195	1265
134	196	1258
135	196	1250
136	197	1243
137	197	1235
138	198	1227
139	198	1220
140	199	1213
141	199	1206
142	200	1199
143	200	1191
144	201	1185
145	201	1178
146	201	1171
147	202	1165
148	202	1158
149	203	1152
150	203	1146
151	204	1140
152	204	1133
153	205	1127
154	205	1121
155	206	1115
156	206	1109
157	207	1103
158	207	1097
159	207	1091
160	208	1086
161	208	1080
162	209	1074
163	209	1069
164	210	1063
165	210	1058
166	211	1053
167	211	1047
168	211	1042
169	212	1037
170	212	1031
171	213	1026
172	213	1021
173	214	1016
174	214	1011
175	215	1007
176	215	1002
177	215	997
178	216	993
179	217	988
180	217	982
181	217	978
182	218	973
183	218	969
184	218	964
185	219	960
186	219	955
187	220	951
188	220	947
189	221	943
190	221	939
191	222	935
192	222	932
193	223	928
194	223	924
195	224	920
196	225	917
197	225	913
198	226	910
